ID_INSPIRE,logAge,[M/H],SNR,mass_frac,time_75,time_90,time_100,dor_100,univ_age,mass_frac_reg,time_75_reg,time_90_reg,time_100_reg,dor_100_reg,mass_frac_unr,time_75_unr,time_90_unr,time_100_unr,dor_100_unr,dor_100_plus,dor_100_min
J1317+4336,10.022639027201166,0.3316749137086642,14.840348199323197,0.99983,1.00836,1.85064,2.4873,0.7787062012250239,11.201004124775709,0.99983,0.47793,1.85064,2.4873,1.174649287365126,1.0,1.00836,1.43734,2.41024,0.9935579822980823,,0.9451646599874503
J1346+6021,10.042374650298113,0.3364786160396175,23.601007112259516,0.89175,0.97059,3.09954,9.78538,0.5430176223265888,11.680152638205687,0.89175,0.52336,3.09954,9.78538,0.9031122988380798,0.99883,0.97059,1.39903,2.44768,1.0014738910884693,,0.9577566099405562
J0807+5317,10.03988953461202,0.3411076052228215,21.29857636647535,0.9455,1.86999,2.57014,10.28903,0.46072438767779467,11.543202453611883,0.9455,1.86999,2.57014,10.28903,0.6738438042691305,0.99895,1.07707,1.49518,2.47666,0.9828722236418564,,0.9248298638151828
J1558+2707,10.019037395350725,0.2586679529674241,18.112292602622478,0.90461,1.78423,2.82776,9.46468,0.47356673057909654,11.46995131352995,0.90461,1.78423,2.82776,9.46468,0.6865570539941496,0.98806,1.11153,1.60727,3.87594,0.9333230629360875,,0.9058620084255354
J1647+2956,10.015589485197317,0.2555213651983967,19.235960698526533,0.95915,1.19495,1.74517,8.60648,0.5593360429749265,11.301923397538028,0.95915,0.4889,1.3527,8.60648,0.9734494162587772,0.97756,1.19495,1.74517,5.13534,0.8805366741995684,,0.712026851527307
J1437+1800,10.013675212747579,0.23914206813041683,17.706533078165084,0.88865,1.57528,4.03335,9.88025,0.4620130872545262,11.195227112717351,0.88865,1.57528,4.03335,9.88025,0.6745042053309421,0.97569,1.27428,1.84756,4.77215,0.8806006553315974,,0.5153029034358841
J0921+6020,10.03999490732667,0.20568487237656932,29.91853077296182,0.94918,1.76863,2.32233,9.99268,0.48238236062041967,11.84176707730355,0.94918,1.76863,2.32233,9.99268,0.6960114275372525,0.97004,0.97615,1.57203,4.23339,0.9415866280564448,,0.8354715306015962
J2350+0609,10.044620721015322,0.3370973791391159,34.772045435479846,0.95977,1.05552,2.30408,10.26382,0.5426646913932335,11.873499521967299,0.95977,1.05552,2.30408,10.26382,0.7563464188203518,0.99837,0.88559,1.27726,2.28082,1.0236240099083602,,0.997295068094107
J0943+0553,10.021415165868483,0.31857106054431306,29.03699251440476,0.88259,2.20188,2.98822,10.51404,0.41743295617976134,11.446682504075836,0.88259,2.20188,2.98822,10.34658,0.6352584484185132,0.99765,0.96376,1.38405,10.51404,0.7659761540410118,,0.9574515079949834
J0908+0553,10.01345841333759,0.2523273288783175,17.750197100733534,0.88546,1.72882,5.54746,10.32525,0.43457830100908384,11.051568709188619,0.88546,1.72882,5.54746,10.32525,0.6467984928985846,0.97134,1.23147,1.80072,5.46754,0.8608763523873373,,0.7147644398603058
J0815+1252,10.019273080473926,0.2597811012532306,33.42356804700973,0.91454,1.05278,1.74039,8.7743,0.561823446812166,11.46913224729116,0.91454,0.47463,1.74039,8.7743,0.9676520268661459,0.98287,1.05278,1.50798,4.52746,0.9210170955580628,,0.7191588105293162
J1513+1247,10.01597006942892,0.3265814291595319,14.437611968016055,0.93694,1.26872,1.89023,10.60722,0.47993853328593605,11.116439764073569,0.93694,1.26872,1.89023,10.55241,0.6939254447524069,0.99734,1.15699,1.6085,10.60722,0.7251012210000541,,0.6998108483995046
J1427+2107,10.017888797107195,0.2274861444399948,26.85994425043197,0.84961,1.59136,5.5838,10.2731,0.4408321732542415,11.378800182808675,0.84961,1.59136,5.5838,10.2731,0.6536595367502752,0.97929,1.01533,1.52397,4.39029,0.9286366896486236,,0.7484863649580503
J1025+1732,10.020903675250665,0.24180407651436614,27.90244700028087,0.87147,1.98818,3.32198,9.31863,0.45216798222174986,11.24483491128312,0.87147,1.98818,3.32198,9.31863,0.6647510479723012,0.98312,0.9908,1.4818,3.94291,0.9457069459080841,,0.7304602108264812
J1431+5115,10.016904282973092,0.2663633202709041,18.82905261000451,0.88891,1.51768,4.0023,9.89477,0.46418328949649806,11.134239302928671,0.88891,1.51768,4.0023,9.89477,0.6765602443126246,0.98233,1.14392,1.65486,4.80689,0.8959006824465675,,0.6886131320931899
J1307+2100,10.022359739339896,0.28343531574348135,25.245211335783882,0.92051,0.97646,2.12587,9.30745,0.5527163774229312,11.11478251663244,0.92051,0.86632,2.12587,9.30745,0.7867567118664369,0.99472,0.97646,1.42162,3.33993,0.9687597788252994,,0.7774602892760786
J1443+1423,9.996389781687553,0.19578583925837093,26.096759092152336,0.96636,1.0609,1.64224,7.43073,0.6073700970931698,10.9345391127864,0.96636,0.67267,1.54554,7.43073,0.9100338437819463,0.96892,1.0609,1.64224,4.55357,0.9079262734862565,,0.7685461529556692
J0056-0114,10.062737670913952,0.3291562227734036,44.18714036191759,0.97047,0.8652,1.63957,11.62061,0.5464593888648338,12.013966268739855,0.97047,0.4562,1.63957,11.60981,0.9333736860105836,0.99666,0.8652,1.2551,11.62061,0.7691008819737224,,0.6910609141140269
J1227-0313,9.905378716869386,-0.009711848547396195,25.195021337862187,0.75508,2.82908,6.23306,10.34389,0.34193952331769367,10.64450156756557,0.76913,1.98062,5.05369,10.34389,0.5832724074633057,0.75508,2.82908,6.23306,9.89454,0.5674237338461996,,0.4267061532222272
J1318+0114,10.047283015699705,0.3229815995755092,47.73410183019169,0.95122,1.0873,2.23791,9.68844,0.5453542646267001,11.597809133419016,0.95122,1.0873,2.23791,9.68844,0.7585688556485234,0.9989,0.81874,1.16235,2.36768,1.0351485265937697,,0.747105648064683
J0744+3951,10.043731789985085,0.3350129243079299,33.00609223173807,0.94517,0.90839,2.2674,9.5697,0.5753415467326173,11.52553118137359,0.94517,0.55719,2.2674,9.5697,0.9040751673659536,0.99826,0.90839,1.31361,2.43909,1.012353141240889,,0.7383487188496359
J1445+3026,10.015833951640408,0.20948501674672937,23.50621313932511,0.83107,1.87872,4.44838,7.9509,0.4798298121899454,11.024309277442375,0.83107,1.87872,4.44838,7.9509,0.6919977983381473,0.96462,1.12994,1.7386,4.98846,0.8848749984621689,,0.6795707570186355
J1452+2229,10.025270013942048,0.333417570269285,22.913602167767692,0.9995,1.54171,1.81724,1.99725,0.7358999306493864,11.17207377988762,0.9995,1.54171,1.81724,1.99725,0.9483478547086253,1.0,0.93344,1.33643,1.99,1.0191767878039037,,0.7741710153046982
J1138+3355,9.813488199353385,0.07068204844250058,22.394782164736416,0.74114,2.98874,8.23484,9.48787,0.3411859440801687,9.931179717758988,0.74114,2.98874,8.23484,9.48787,0.5510242506428068,0.78801,1.95708,6.60929,9.4878,0.5960459597623916,,0.40825746197867563
J0901+1352,9.990508059336873,0.2177729833052164,22.565190394733857,0.81957,1.57473,3.86421,9.46821,0.44614884721172493,10.978951324857618,0.81957,1.57473,3.86421,9.46821,0.6582293917832537,0.96076,1.0462,1.61918,9.07877,0.7705850100721118,,0.6936561512189673
J1535+3723,10.002234272136203,0.3304973951451718,14.84051223345128,0.99845,1.26438,1.45843,2.36342,0.7465624575041171,10.786484231268819,0.99845,1.26438,1.45843,1.9966,0.969599572197641,1.0,0.98686,1.40897,2.36342,0.9958493624793928,,0.9585977845541797
J1350+2732,9.996136306440832,0.23025448505925095,22.39563698974513,0.94759,1.08757,1.61984,8.33349,0.5692330220584304,10.910730115902942,0.94759,0.90032,1.40309,8.33349,0.813053204077978,0.97561,1.08757,1.61984,5.41453,0.8796977245738548,,0.6444895180452705
